,offset_max,offset_min,m_temp_err_max,m_temp_err_min,vref_avg,vref_max,vref_min,name,type,time,OK
0,44.46166,-0.243027,99.74995,-6.431765,1.25043,1.429583,1.225073,tsweep_SchGtAfsTlVh,Sch,Tue Nov 15 21:45:55 2022,False
1,1.186543,-0.2961608,-2.827088,-4.114861,1.233266,1.234739,1.22857,tsweep_SchGtAsfTlVh,Sch,Tue Nov 15 21:45:55 2022,False
2,50.583749999999995,0.1094265,116.6323,-4.83909,1.253579,1.455795,1.224356,tsweep_SchGtAffTlVh,Sch,Tue Nov 15 21:45:55 2022,False
3,0.8012684,-0.6090729,-5.22637,-5.789321,1.234493,1.236279,1.228605,tsweep_SchGtAssTlVh,Sch,Tue Nov 15 21:45:55 2022,True
4,44.46166,-0.243027,99.74995,-6.431765,1.25043,1.429583,1.225073,tsweep_SchGtAfsThVh,Sch,Tue Nov 15 21:45:55 2022,False
5,1.186543,-0.2961608,-2.827088,-4.114861,1.233266,1.234739,1.22857,tsweep_SchGtAsfThVh,Sch,Tue Nov 15 21:45:55 2022,False
6,50.583749999999995,0.1094265,116.6323,-4.83909,1.253579,1.455795,1.224356,tsweep_SchGtAffThVh,Sch,Tue Nov 15 21:45:55 2022,False
7,0.8012684,-0.6090729,-5.22637,-5.789321,1.234493,1.236279,1.228605,tsweep_SchGtAssThVh,Sch,Tue Nov 15 21:45:55 2022,True
8,4.539282,-1.234293,-2.263705,-11.73108,1.220682,1.234205,1.217976,tsweep_SchGtAfsTlVl,Sch,Tue Nov 15 21:45:55 2022,False
9,-0.005279702,-1.160309,-7.241256,-8.564544,1.225192,1.226706,1.222115,tsweep_SchGtAsfTlVl,Sch,Tue Nov 15 21:45:55 2022,True
10,5.876933,-0.8433725,2.664877,-9.544098,1.22017,1.237727,1.217589,tsweep_SchGtAffTlVl,Sch,Tue Nov 15 21:45:55 2022,False
11,-0.3472067,-1.481296,-8.637529,-11.40563,1.225897,1.227491,1.221838,tsweep_SchGtAssTlVl,Sch,Tue Nov 15 21:45:55 2022,True
12,4.539282,-1.234293,-2.263705,-11.73108,1.220682,1.234205,1.217976,tsweep_SchGtAfsThVl,Sch,Tue Nov 15 21:45:55 2022,False
13,-0.005279702,-1.160309,-7.241256,-8.564544,1.225192,1.226706,1.222115,tsweep_SchGtAsfThVl,Sch,Tue Nov 15 21:45:55 2022,True
14,5.876933,-0.8433725,2.664877,-9.544098,1.22017,1.237727,1.217589,tsweep_SchGtAffThVl,Sch,Tue Nov 15 21:45:55 2022,False
15,-0.3472067,-1.481296,-8.637529,-11.40563,1.225897,1.227491,1.221838,tsweep_SchGtAssThVl,Sch,Tue Nov 15 21:45:55 2022,True
